id;method;a1;a2;a3_1;a3_2;a3_3;a3_4;a3_5;a3_6;a3_7;a3_8;a3_9;a3_10;a3_11;a3_12;a3_13;a3_14;a3_15;a3_16;a3_17;a3_18;a3_19;a3_20;a3_21;a3_22;a3_23;a3_24;a3_25;a3_26;a3_27;a4_1;a4_2;a4_3;a4_4;a4_5;a4_6;a4_7;a4_8;a4_9;a4_10;a4_11;a4_12;a4_13;a4_14;a4_15;a4_16;a4_17;a4_18;a4_19;a4_20;a4_21;a4_22;a4_23;a4_24;a4_25;a4_26;a5_1;a5_2;a5_3;a5_4;a5_5;a5_6;a5_7;a5_8;a5_9;a5_10;a5_11;a6_1;a6_2;a6_3;a6_4;a6_5;a6_6;a6_7;a6_8;a6_9;a6_10;a6_11;a6_12;a6_13;a6_14;a6_15;a7_1;a7_2;a7_3;a7_4;a7_5;a7_6;a7_7;a8_1;a8_2;a8_3;a8_4;a8_5;a8_6;a8_7;a8_8;a8_9;a8_10;a9;a10;a11;b1_1;b1_2;b1_3;b2_1;b2_2;b2_3;b3;b4_1;b4_2;b4_3;b4_4;b4_5;b4_6;b4_7;b4_8;b4_9;b4_10;b4_11;b4_12;b4_13;b4_14;b4_15;b4_16;b4_17;b4_18;b4_19;b4_20;b4_21;b4_22;b4_23;b4_24;b4_25;b4_26;b4_27;b5a_1;b5a_2;b5a_3;b5a_4;b5a_5;b5a_6;b5a_7;b5a_8;b5a_9;b5a_10;b5a_11;b5b_1;b5b_2;b5b_3;b5b_4;b5b_5;b5b_6;b5b_7;b5b_8;b5b_9;b5b_10;b5b_11;b6_1;b6_2;b6_3;b6_4;b6_5;b6_6;b6_7;b6_8;b6_9;b6_10;b6_11;b6_12;b6_13;b6_14;b6_15;b6_16;b7;b8;b9_1;b9_2;b9_3;b9_4;b9_5;b9_6;b9_7;b9_8;b9_9;b9_10;b9_11;b9_12;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;b24;b25;b26;c1_1;c1_2;c1_3;c1_4;c1_5;c1_6;c1_7;c1_8;c1_9;c1_10;c1_11;c1_12;c1_13;c1_14;c1_15;c1_16;c1_17;c1_18;c1_19;c1_20;c1_21;c1_22;c1_23;c1_24;c1_25;c1_26;c1_27;c2;c3;c4;c5;d1;d2;d3;d4;d5;d6;d7;d8;d9;d10;e1;e2;e3;e4;e5;e6;e7;e8;e9;e10_1;e10_2;e10_3;e10_4;e10_5;e10_6;e10_7;e10_8;e10_9;e10_10;e10_11;f1_1;f1_2;f1_3;f1_4;f1_5;f1_6;f1_7;f1_8;f1_9;f1_10;f1_11;f1_12;f1_13;f1_14;f1_15;f2;g1;g2_1;g2_2;g2_3;g2_4;g2_5;g2_6;g2_7;g2_8;g2_9;g2_10;g2_11;g3_1;g3_2;g3_3;g3_4;g3_5;g3_6;g4;g5_1;g5_2;g5_3;g5_4;g5_5;g5_6;g5_7;g5_8;h1;h2;h3;h4;h5;h6_1;h6_2;h6_3;h6_4;h6_5;h7;h8;h9;h1r;ind_mean
208;2;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;4;4;5;5;5;5;5;5;5;6;6;5;5;5;3;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;1;4;3;3;1;1;1;;;;;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4;4;4;4;4;4;4;4;11;6;2;;;;;;;;1;2;1;7;4
209;2;2;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;3;2;2;2;1;4;5;6;2;4;4;4;4;3;3;3;1;3;1;1;1;0;0;1;0;0;0;0;0;0;1;5;2;2;6;8;8;2;2;1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5;4;0;0;0;0;0;1;0;1;0;0;0;0;2;1;2;3;3;2;3;3;2;1;1;1;3;4;4;4;3;;;2;2;3;3;2;2;;;1;1;3;;;4;3;;;4;2;;3;;;;;2;4;1;3;3;3;2;1;4;2;;;2;6;8;1;;;5;8;5;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;3;2;4;3;4;4;3;4;18;15;2;;;0;1;0;0;1;2;4;1;8;274.074.074.074.074
210;2;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;7;;8;7;9;6;8;3;3;8;9;4;5;6;7;3;3;4;2;3;1;3;0;0;0;0;0;0;1;0;1;0;3;2;1;10;8;3;8;8;;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;6;8;6;6;7;6;7;7;7;7;6;8;7;6;;9;9;8;7;7;7;8;;9;;9;;9;10;;4;4;;;3;3;7;;;9;;8;10;;7;6;6;7;3;;8;9;10;;;9;8;9;8;8;8;7;9;9;9;9;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;5;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;3;2;4;3;3;4;3;3;8;7;1;1;2;0;0;1;0;0;1;5;1;5;733.333.333.333.333
211;2;4;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;8;10;10;10;10;10;10;;10;10;10;10;9;10;9;3;1;2;1;4;4;2;1;0;1;0;0;0;0;0;0;0;4;2;5;10;10;10;10;10;10;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;1;0;0;1;0;1;0;0;0;0;0;0;0;9;9;10;7;8;8;10;;9;10;9;;10;;9;10;10;;10;10;10;10;10;10;;;10;;;;;10;10;;10;10;10;10;10;;10;;10;;10;10;9;10;1;10;10;10;10;9;9;10;10;10;10;10;10;9;10;9;10;10;8;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;4;9;2;;;0;0;1;1;0;1;4;1;3;9.44
212;2;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;4;7;6;6;6;6;7;5;5;8;8;8;7;10;10;1;3;3;1;2;2;3;0;0;1;1;0;0;0;0;0;0;4;2;2;2;9;6;5;6;5;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5;3;0;0;1;0;0;0;1;0;0;0;0;0;3;8;;;;;;;;;;;;;;;;6;;;;;;;;6;;;6;;;;;;;;6;;;;;;6;;4;6;5;;4;;;;;6;;6;4;7;;;;6;6;;;;6;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;3;3;3;3;4;4;3;4;7;7;2;;;0;1;0;0;1;2;4;1;5;5.4
213;2;5;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;;10;9;10;;10;10;9;9;8;8;8;8;8;2;2;2;3;3;2;3;1;0;0;0;0;0;0;0;0;0;;5;5;5;5;5;5;5;5;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;1;1;0;0;0;0;0;0;7;7;6;6;7;6;;;;;;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;6;14;1;1;2;0;0;0;0;1;1;2;1;4;642.857.142.857.143
214;2;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;4;4;4;3;6;5;3;4;3;4;2;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;4;4;4;4;6;6;4;6;6;;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;1;0;0;0;1;0;0;0;0;3;2;;;;;4;4;;;;;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;4;;;;6;2;7;6;2;;;;;;;;;;;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;4;4;4;4;4;4;4;4;9;14;2;;;0;0;0;0;1;2;4;1;6;3.8
215;2;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;4;6;5;4;4;4;4;4;4;3;4;3;4;4;1;3;1;2;1;1;1;1;0;0;0;0;0;1;0;0;0;4;3;3;2;5;5;;4;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;5;4;0;0;1;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;4;3;3;3;4;4;3;4;9;10;2;;;0;1;0;0;1;2;4;1;6;6
216;2;3;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;5;5;4;6;7;10;5;5;5;5;4;4;3;3;2;2;3;1;2;3;2;0;0;1;0;0;0;0;1;0;0;4;3;4;6;6;6;6;6;6;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;1;0;0;0;1;0;0;0;0;0;0;0;5;5;6;4;5;7;7;7;4;5;5;4;4;5;4;7;8;;6;7;7;3;4;4;3;7;;;;;7;8;;;;;4;;;6;;8;8;;6;3;4;6;4;6;7;7;7;3;6;7;7;8;5;4;4;;;9;4;7;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;3;3;3;2;4;3;3;3;21;2;;;0;0;1;0;1;2;2;1;2;571.428.571.428.571
217;2;3;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;6;;;6;5;7;8;8;7;4;4;4;9;8;9;3;2;4;3;3;3;3;0;0;1;0;0;0;1;0;0;0;1;3;1;6;6;6;;10;10;;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;4;0;0;0;0;1;0;0;1;0;0;0;0;;;7;6;6;6;6;7;6;6;4;4;6;6;9;6;6;;;4;6;;4;;;;;;5;;6;5;5;;;;5;;;6;;;6;;6;5;6;6;5;;6;6;5;4;5;7;7;7;7;8;7;8;;5;6;;7;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;4;4;4;4;4;4;4;4;9;8;2;;;0;0;0;1;0;2;4;1;6;608.695.652.173.913
218;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;6;6;6;6;6;6;6;;5;6;5;;5;5;5;2;4;3;2;3;4;4;0;0;1;1;0;0;0;0;0;0;4;2;2;7;7;5;7;;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;4;0;0;0;0;0;1;0;1;0;0;0;0;4;4;4;4;5;5;3;5;4;;;4;5;;;5;;;5;;;5;6;;;;;;;;;;;;6;6;;;;;;;;;5;5;3;3;2;6;6;6;;;3;6;6;4;4;6;;6;;3;4;;;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;4;3;4;4;3;4;3;3;4;19;1;4;2;0;0;0;1;0;1;3;1;3;454.545.454.545.455
219;2;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3;2;5;6;3;;6;4;6;2;3;7;5;4;3;2;2;3;1;2;4;3;1;0;0;0;0;0;0;0;1;0;2;2;2;5;5;7;3;4;6;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;1;0;1;0;0;0;0;3;4;3;5;4;7;7;6;2;8;4;1;;;7;8;4;;5;;;6;7;;6;;;;7;8;;3;8;;;;5;9;;7;4;;;6;3;4;5;4;3;7;;4;8;6;7;4;5;7;5;8;4;6;6;2;3;7;2;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;3;2;4;2;4;4;2;4;18;15;2;;;0;1;1;0;0;2;4;1;8;469.230.769.230.769
220;2;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;6;6;8;5;8;6;7;;7;7;8;4;2;2;2;4;4;3;2;2;3;2;0;0;0;1;0;0;0;0;0;1;4;2;1;8;5;5;8;;;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;4;0;0;0;0;0;0;0;1;0;1;0;0;4;7;8;6;5;8;;8;8;;8;10;9;;10;10;9;;8;;;;;;;8;8;;8;;;;;7;8;7;7;;6;;;8;;;7;7;6;6;3;7;7;6;8;5;2;;6;8;8;6;;8;;8;8;;5;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;3;2;3;3;4;4;4;4;4;17;2;;;0;1;0;1;0;1;4;1;3;756.521.739.130.435
221;2;3;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;6;5;6;5;6;7;5;7;5;6;6;6;7;6;6;4;2;3;3;4;2;3;0;0;1;0;0;0;0;1;0;0;3;2;3;7;7;7;7;8;;10;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;1;0;1;0;0;0;0;9;;7;;7;8;10;7;5;7;7;10;8;;8;10;10;;6;;6;7;10;;8;8;8;;6;6;6;8;;6;7;9;9;9;9;7;;8;9;8;8;6;8;;3;8;7;10;10;5;1;5;5;7;8;8;8;8;8;;8;8;;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3;3;4;3;4;4;3;4;7;4;2;;;0;1;0;0;1;2;5;1;5;752.173.913.043.478
222;2;3;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;5;7;7;6;8;6;6;5;6;5;5;6;5;5;6;3;2;2;2;3;1;2;1;0;0;0;0;0;1;0;0;0;4;2;1;5;6;6;5;5;5;7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;1;0;0;1;0;0;0;0;6;7;7;7;8;7;8;7;;7;;8;;;;8;8;;;;6;6;8;8;;8;;5;6;;7;7;8;;8;9;7;6;6;7;7;8;6;7;6;5;5;6;4;7;7;6;7;7;7;7;7;8;7;8;7;7;8;;7;7;8;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;3;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;4;3;3;4;3;3;4;4;7;2;;;0;1;0;1;0;2;4;1;3;686.363.636.363.636
223;2;2;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;5;4;5;5;6;5;6;7;;8;9;8;6;5;6;3;2;3;4;4;3;3;0;0;1;0;0;0;0;0;1;0;3;2;3;9;8;8;9;8;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;1;0;0;0;0;0;0;5;6;7;8;8;7;6;7;8;7;9;7;9;8;8;9;8;9;8;6;7;6;7;8;7;7;8;8;8;7;9;8;7;8;6;7;8;7;6;7;8;7;6;7;7;7;8;7;2;6;8;8;8;8;9;8;8;10;7;8;9;8;7;8;9;8;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;4;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;3;1;2;;3;2;1;2;7;10;2;;;0;1;0;1;0;2;3;1;5;757.142.857.142.857
224;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;8;8;8;8;6;8;8;8;7;5;5;6;3;3;2;4;4;4;4;4;4;4;1;0;0;0;0;0;0;0;0;1;1;3;3;3;5;3;4;4;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;0;0;0;0;0;1;1;0;0;0;0;0;7;6;;5;5;6;5;5;5;5;5;;5;5;5;5;5;;;;;;;7;;;;;7;;;;;;;;;;;;;;;;6;6;6;6;5;5;5;5;5;5;5;5;7;7;5;6;6;6;;;6;6;5;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;;3;4;3;4;4;4;3;4;4;7;2;;;1;0;0;0;0;2;3;2;3;5.6
225;2;3;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;5;8;8;7;8;7;7;7;6;7;7;;8;7;7;1;2;3;2;1;1;2;0;0;1;1;0;0;0;0;0;0;4;2;2;7;6;8;7;7;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;0;1;0;0;0;0;1;0;0;0;0;5;7;7;6;6;7;8;7;7;7;6;7;7;7;8;8;8;;;;;;;;;;;;;;;8;;;8;7;;;;;;;8;;7;6;6;5;3;7;7;6;;;8;7;7;8;8;7;7;;6;6;6;7;7;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;2;2;3;2;4;4;3;4;4;18;2;;;0;1;0;0;0;2;5;1;3;685.714.285.714.286
226;2;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;5;7;5;6;5;7;5;7;5;5;8;5;7;5;7;3;4;3;4;3;4;4;1;0;1;0;0;0;0;0;0;0;4;2;2;8;9;6;9;10;7;10;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0;0;0;0;0;0;1;0;1;0;0;6;10;9;7;7;7;;9;5;9;;10;9;;10;10;10;8;;;8;;8;;;10;;8;10;;;;;;;;9;;;8;;;10;;8;5;8;;2;;9;9;9;5;8;;9;9;8;8;8;9;7;7;8;9;;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;5;4;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;2;2;4;4;3;4;4;3;3;7;10;2;;;0;1;0;1;0;1;4;1;5;81.304.347.826.087
227;2;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;7;;;5;5;6;7;;9;3;3;;6;;;3;4;2;2;3;4;3;1;0;0;0;0;0;1;0;0;0;3;1;1;7;7;7;5;5;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;3;0;0;0;0;1;0;0;1;0;0;0;0;6;6;;;;;;;;;;;;;;;;;1;1;4;1;7;3;;5;1;4;1;;5;6;5;5;1;;1;7;4;4;;5;1;;2;2;1;1;5;4;1;1;;;;1;2;2;;;;;;;;;;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;4;4;4;4;4;4;4;4;1;21;2;;;1;0;1;0;0;2;5;2;1;2.8
